Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.61     22.64    22.64  1564225     0.00     0.00  mpeg4_decode_mb
 17.45     40.11    17.47  1564223     0.00     0.00  MPV_decode_mb
 13.28     53.41    13.30  5244910     0.00     0.00  mpeg4_decode_block
 12.93     66.36    12.95     1778     0.01     0.05  decode_slice
 12.28     78.65    12.29  1384157     0.00     0.00  put_dct
  8.65     87.31     8.66   885293     0.00     0.00  MPV_motion
  6.74     94.06     6.75     2890     0.00     0.00  mp_decode_frame
  2.63     96.69     2.63                             sws_scale
  1.11     97.80     1.11     1777     0.00     0.00  MPV_frame_end
  0.35     98.15     0.35     9241     0.00     0.00  av_destruct_packet
  0.24     98.39     0.24    97907     0.00     0.00  get_le16
  0.19     98.58     0.19     3436     0.00     0.00  decode_vop_header
  0.19     98.77     0.19        1     0.19     0.54  avi_load_index
  0.17     98.94     0.17     4536     0.00     0.00  avi_read_packet
  0.17     99.11     0.17     1778     0.00     0.05  ff_h263_decode_frame
  0.12     99.23     0.12       56     0.00     0.00  av_dup_packet
  0.08     99.31     0.08    48947     0.00     0.00  get_le32
  0.07     99.38     0.07     1658     0.00     0.00  mpeg4video_parse
  0.06     99.44     0.06      100     0.00     0.00  url_read
  0.06     99.50     0.06       56     0.00     0.02  av_read_frame_internal
  0.05     99.55     0.05     4538     0.00     0.00  av_free_packet
  0.05     99.60     0.05     4537     0.00     0.00  compute_pkt_fields
  0.05     99.65     0.05     4535     0.00     0.00  av_new_packet
  0.05     99.70     0.05     2410     0.00     0.00  av_freep
  0.05     99.75     0.05                             avcodec_default_get_buffer
  0.04     99.79     0.04                             avcodec_decode_video2
  0.04     99.83     0.04                             sws_getCachedContext
  0.03     99.86     0.03    18158     0.00     0.00  url_ftell
  0.03     99.89     0.03     4538     0.00     0.00  av_parser_parse2
  0.02     99.91     0.02    12214     0.00     0.00  av_add_index_entry
  0.02     99.93     0.02     4535     0.00     0.00  av_get_packet
  0.02     99.95     0.02     1778     0.00     0.00  MPV_frame_start
  0.02     99.97     0.02      133     0.00     0.00  av_mallocz
  0.02     99.99     0.02       64     0.00     0.00  av_rescale_q
  0.02    100.01     0.02        4     0.01     0.01  av_opt_set_defaults2
  0.02    100.03     0.02        2     0.01     0.01  av_probe_input_format2
  0.01    100.04     0.01     4536     0.00     0.00  av_read_packet
  0.01    100.05     0.01     2890     0.00     0.00  decode_frame
  0.01    100.06     0.01     2879     0.00     0.00  mpegaudio_parse
  0.01    100.07     0.01     1778     0.00     0.00  ff_alloc_picture
