Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 20.94      4.87     4.87   410770     0.00     0.00  mpeg4_decode_mb
 18.96      9.28     4.41   410768     0.00     0.00  MPV_decode_mb
 12.47     12.18     2.90  1298237     0.00     0.00  mpeg4_decode_block
 12.47     15.08     2.90      467     0.01     0.04  decode_slice
 11.91     17.85     2.77   225869     0.00     0.00  MPV_motion
  7.31     19.55     1.70   297655     0.00     0.00  put_dct
  6.71     21.11     1.56      764     0.00     0.00  mp_decode_frame
  2.92     21.79     0.68                             img_convert
  1.98     22.25     0.46      467     0.00     0.00  MPV_frame_end
  0.56     22.38     0.13     2475     0.00     0.00  av_destruct_packet
  0.52     22.50     0.12    97907     0.00     0.00  get_le16
  0.43     22.60     0.10        1     0.10     0.34  avi_load_index
  0.30     22.67     0.07    48947     0.00     0.00  get_le32
  0.30     22.74     0.07     1094     0.00     0.00  compute_pkt_fields
  0.30     22.81     0.07      467     0.00     0.04  ff_h263_decode_frame
  0.26     22.87     0.06       64     0.00     0.00  av_rescale_q
  0.21     22.92     0.05       33     0.00     0.00  url_read
  0.17     22.96     0.04      868     0.00     0.00  decode_vop_header
  0.17     23.00     0.04      401     0.00     0.00  mpeg4video_parse
  0.13     23.03     0.03     1098     0.00     0.00  av_free_packet
  0.13     23.06     0.03     1096     0.00     0.00  avi_read_packet
  0.09     23.08     0.02    12214     0.00     0.00  av_add_index_entry
  0.09     23.10     0.02    12214     0.00     0.00  av_fast_realloc
  0.09     23.12     0.02     4399     0.00     0.00  url_ftell
  0.09     23.14     0.02     1096     0.00     0.00  av_get_packet
  0.09     23.16     0.02     1095     0.00     0.00  av_parser_parse2
  0.04     23.17     0.01      694     0.00     0.00  mpegaudio_parse
  0.04     23.18     0.01      467     0.00     0.00  MPV_frame_start
  0.04     23.19     0.01      358     0.00     0.00  av_set_number2
  0.04     23.20     0.01      132     0.00     0.00  av_mallocz
  0.04     23.21     0.01       56     0.00     0.01  av_read_frame_internal
  0.04     23.22     0.01       12     0.00     0.00  av_reduce
  0.04     23.23     0.01        2     0.01     0.01  av_probe_input_format2
  0.04     23.24     0.01        1     0.01     0.01  av_probe_input_format
  0.04     23.25     0.01        1     0.01     0.01  ff_rewind_with_probe_data
  0.04     23.26     0.01                             av_find_stream_info
  0.00     23.26     0.00  1355212     0.00     0.00  add_dct
  0.00     23.26     0.00   410768     0.00     0.00  ff_h263_update_motion_val
  0.00     23.26     0.00   410768     0.00     0.00  mpeg4_is_resync
  0.00     23.26     0.00   333528     0.00     0.00  h263_decode_motion
  0.00     23.26     0.00   297659     0.00     0.00  mpeg4_decode_dc
  0.00     23.26     0.00   297658     0.00     0.00  get_amv
  0.00     23.26     0.00   297658     0.00     0.00  mpeg4_pred_ac
  0.00     23.26     0.00   297655     0.00     0.00  dct_unquantize_h263_intra_armv5te
  0.00     23.26     0.00   230807     0.00     0.00  clear_blocks_c
  0.00     23.26     0.00   225869     0.00     0.00  prefetch_motion
  0.00     23.26     0.00   204781     0.00     0.00  get_byte
  0.00     23.26     0.00   166764     0.00     0.00  h263_pred_motion
  0.00     23.26     0.00    54871     0.00     0.00  ff_mpa_synth_filter
  0.00     23.26     0.00    43305     0.00     0.00  ff_clean_intra_table_entries
  0.00     23.26     0.00    21197     0.00     0.00  url_feof
  0.00     23.26     0.00    20589     0.00     0.00  ff_put_no_rnd_pixels16_xy2_arm
  0.00     23.26     0.00    14733     0.00     0.00  ff_emulated_edge_mc
  0.00     23.26     0.00    14155     0.00     0.00  ff_put_pixels16_xy2_arm
  0.00     23.26     0.00    12615     0.00     0.00  av_index_search_timestamp
  0.00     23.26     0.00    11877     0.00     0.00  ff_put_no_rnd_pixels16_y2_arm
  0.00     23.26     0.00    10774     0.00     0.00  ff_put_no_rnd_pixels16_x2_arm
  0.00     23.26     0.00    10270     0.00     0.00  ff_draw_horiz_band
  0.00     23.26     0.00    10270     0.00     0.00  ff_init_block_index
  0.00     23.26     0.00     9325     0.00     0.00  ff_put_pixels16_y2_arm
  0.00     23.26     0.00     8354     0.00     0.00  ff_put_pixels16_x2_arm
  0.00     23.26     0.00     4820     0.00     0.00  ff_mpa_decode_header
  0.00     23.26     0.00     4414     0.00     0.00  url_fseek
  0.00     23.26     0.00     4097     0.00     0.00  init_get_bits
  0.00     23.26     0.00     4096     0.00     0.00  ff_ac3_parse_header
  0.00     23.26     0.00     3805     0.00     0.00  av_free
  0.00     23.26     0.00     3476     0.00     0.00  ff_init_scantable
  0.00     23.26     0.00     3289     0.00     0.00  av_init_packet
  0.00     23.26     0.00     2528     0.00     0.00  get_bits
  0.00     23.26     0.00     2346     0.00     0.00  av_malloc
  0.00     23.26     0.00     1851     0.00     0.00  av_rescale_rnd
  0.00     23.26     0.00     1660     0.00     0.00  skip_bits_long
  0.00     23.26     0.00     1459     0.00     0.00  ff_mpegaudio_decode_header
  0.00     23.26     0.00     1401     0.00     0.00  draw_edges_c
  0.00     23.26     0.00     1400     0.00     0.00  ff_copy_picture
  0.00     23.26     0.00     1102     0.00     0.00  get_buffer
  0.00     23.26     0.00     1099     0.00     0.00  av_freep
  0.00     23.26     0.00     1096     0.00     0.00  av_new_packet
  0.00     23.26     0.00     1096     0.00     0.00  av_read_packet
  0.00     23.26     0.00     1095     0.00     0.00  av_shrink_packet
  0.00     23.26     0.00     1095     0.00     0.00  ff_fetch_timestamp
  0.00     23.26     0.00     1094     0.00     0.00  compute_frame_duration
  0.00     23.26     0.00     1094     0.00     0.00  update_initial_timestamps
  0.00     23.26     0.00      991     0.00     0.00  __aeabi_ulcmp
  0.00     23.26     0.00      946     0.00     0.00  avcodec_check_dimensions
  0.00     23.26     0.00      869     0.00     0.00  ff_mpeg4_decode_picture_header
  0.00     23.26     0.00      792     0.00     0.00  get_bits1
  0.00     23.26     0.00      764     0.00     0.00  decode_frame
  0.00     23.26     0.00      764     0.00     0.00  ff_mpa_l2_select_table
  0.00     23.26     0.00      732     0.00     0.00  av_next_option
  0.00     23.26     0.00      693     0.00     0.00  av_rescale
  0.00     23.26     0.00      693     0.00     0.00  ff_combine_frame
  0.00     23.26     0.00      693     0.00     0.00  get_audio_frame_size
  0.00     23.26     0.00      468     0.00     0.00  init_get_bits
  0.00     23.26     0.00      467     0.00     0.00  ff_alloc_picture
  0.00     23.26     0.00      467     0.00     0.00  ff_er_add_slice
  0.00     23.26     0.00      467     0.00     0.00  ff_er_frame_end
  0.00     23.26     0.00      467     0.00     0.00  ff_er_frame_start
  0.00     23.26     0.00      467     0.00     0.00  ff_find_unused_picture
  0.00     23.26     0.00      467     0.00     0.00  ff_print_debug_info
  0.00     23.26     0.00      467     0.00     0.00  ff_set_qscale
  0.00     23.26     0.00      467     0.00     0.00  free_frame_buffer
  0.00     23.26     0.00      467     0.00     0.00  get_consumed_bytes
  0.00     23.26     0.00      466     0.00     0.00  yuv420p_to_rgb24
  0.00     23.26     0.00      401     0.00     0.00  init_get_bits
  0.00     23.26     0.00      358     0.00     0.00  av_find_opt
  0.00     23.26     0.00      306     0.00     0.00  av_set_int
  0.00     23.26     0.00      180     0.00     0.00  av_realloc
  0.00     23.26     0.00      116     0.00     0.00  has_codec_parameters
  0.00     23.26     0.00       77     0.00     0.00  decode_user_data
  0.00     23.26     0.00       60     0.00     0.00  av_gcd
  0.00     23.26     0.00       56     0.00     0.00  add_to_pktbuf
  0.00     23.26     0.00       56     0.00     0.00  av_dup_packet
  0.00     23.26     0.00       48     0.00     0.00  av_set_double
  0.00     23.26     0.00       36     0.00     0.00  avcodec_get_frame_defaults
  0.00     23.26     0.00       33     0.00     0.00  file_read
  0.00     23.26     0.00       33     0.00     0.00  fill_buffer
  0.00     23.26     0.00       32     0.00     0.00  build_table
  0.00     23.26     0.00       32     0.00     0.00  init_vlc_sparse
  0.00     23.26     0.00       19     0.00     0.00  av_match_ext
  0.00     23.26     0.00        8     0.00     0.00  ff_fill_linesize
  0.00     23.26     0.00        8     0.00     0.00  file_seek
  0.00     23.26     0.00        8     0.00     0.00  url_fskip
  0.00     23.26     0.00        8     0.00     0.00  url_seek
  0.00     23.26     0.00        6     0.00     0.00  avcodec_default_free_buffers
  0.00     23.26     0.00        6     0.00     0.00  ff_is_hwaccel_pix_fmt
  0.00     23.26     0.00        5     0.00     0.00  ff_fill_pointer
  0.00     23.26     0.00        5     0.00     0.00  ff_id3v2_match
  0.00     23.26     0.00        5     0.00     0.00  init_rl
  0.00     23.26     0.00        5     0.00     0.00  init_vlc_rl
  0.00     23.26     0.00        4     0.00     0.00  av_d2q
  0.00     23.26     0.00        4     0.00     0.00  av_set_pts_info
  0.00     23.26     0.00        4     0.00     0.00  av_set_q
